path|name|dob|gender|url
17/10000217_1981-05-05_2009.jpg|Sami Jauhojärvi|1982-05-06|Male| 
48/10000548_1925-04-04_1964.jpg|Dettmar Cramer|1926-04-05|Male| 
12/100012_1948-07-03_2008.jpg|Marc Okrand|1949-07-04|Male| 
65/10001965_1930-05-23_1961.jpg|Aleksandar Matanović|1931-05-24|Male| 
16/10002116_1971-05-31_2012.jpg|Diana Damrau|1972-05-31|Female| 
02/10002702_1960-11-09_2012.jpg|Krista Tippett|1961-11-10|Female| 
41/10003541_1937-09-27_1971.jpg|Bernie Whitebear|1938-09-28|Male| 
39/100039_1904-12-07_1982.jpg|Clarence Nash|1905-12-08|Male| 
13/10004113_1946-08-26_2007.jpg|William W. Destler|1947-08-27|Male| 
22/10004122_1982-03-17_2011.jpg|Daniel Smith|1983-03-18|Male| 
99/10004299_1908-08-19_1950.jpg|Carl Greenberg|1909-08-20|Male| 
56/1000456_1933-06-12_1969.jpg|Eddie Adams|1934-06-13|Male| 
82/10004882_1987-05-16_2010.jpg|Viktor Pfeifer|1988-05-16|Male| 
22/1000522_1931-01-15_1959.jpg|Lee Bontecou|1932-01-16|Female| 
61/10005261_1936-06-24_1974.jpg|Bob Cooper|1937-06-25|Male| 
47/10005947_1981-04-07_2006.jpg|Sharka Blue|1982-04-08|Female| 
84/1000684_1972-04-05_2004.jpg|Pat Green|1973-04-06|Male| 
50/10006850_1973-08-17_2010.jpg|David Bromstad|1974-08-18|Male| 
77/10007577_1988-06-16_2007.jpg|Leeland Dayton Mooring|1989-06-17|Male| 
81/1000781_1930-07-07_2008.jpg|Theodore Edgar McCarrick|1931-07-08|Male| 
87/100087_1889-05-19_1940.jpg|Thomas Midgley, Jr.|1890-05-20|Male| 
97/100097_1968-03-23_2010.jpg|Damon Albarn|1969-03-24|Male| 
91/1001191_1980-11-08_2011.jpg|Diomansy Kamara|1981-11-09|Male| 
31/1001231_1981-01-30_2014.jpg|Peter Crouch|1982-01-31|Male| 
32/10012532_1983-03-30_2011.jpg|Britta Johansson Norgren|1984-03-30|Female| 
85/1001285_1963-09-30_1997.jpg|Greg Williams|1964-09-30|Male| 
19/1001319_1920-11-30_1950.jpg|Virginia Mayo|1921-12-01|Female| 
31/100131_1926-09-06_1986.jpg|Prince Claus of the Netherlands|1927-09-07|Male| 
45/10013345_1956-05-26_1969.jpg|Mehdi El Glaoui|1957-05-27|Male| 
41/1001441_1978-06-24_2005.jpg|Luis García|1979-06-25|Male| 
16/10014616_1991-08-12_1985.jpg|Sam Hoare|1992-08-12|Male| 
64/1001464_1953-12-29_2014.jpg|Alan Rusbridger|1954-12-30|Male| 
95/10014795_1968-10-11_2010.jpg|Chandrachur Singh|1969-10-12|Male| 
79/10015679_1977-03-01_2007.jpg|Maksim Buznikin|1978-03-02|Male| 
56/100156_1920-04-07_1988.jpg|Ravi Shankar|1921-04-08|Male| 
74/10016074_1987-07-27_2012.jpg|Thomas Enevoldsen|1988-07-27|Male| 
25/10016225_1988-02-03_2012.jpg|Gregory van der Wiel|1989-02-03|Male| 
35/10016635_1962-02-08_2011.jpg|Shuli Rand|1963-02-09|Male| 
88/10016688_1963-07-28_2009.jpg|Katharina Franck|1964-07-28|Female| 
69/10017169_1985-01-20_2009.jpg|Tony McDaniel|1986-01-21|Male| 
64/10017464_1973-08-03_2007.jpg|Daniel Stephan|1974-08-04|Male| 
18/10018_1930-05-11_2002.jpg|Edsger W. Dijkstra|1931-05-12|Male| 
95/10019295_1978-04-09_2009.jpg|Jamie Little|1979-04-10|Female| 
96/100196_1957-10-03_2010.jpg|Tim Westwood|1958-10-04|Male| 
01/1002001_1944-05-01_1995.jpg|Suresh Kalmadi|1945-05-02|Male| 
48/1002248_1960-05-14_2007.jpg|Ronan Tynan|1961-05-15|Male| 
29/10023829_1950-04-05_1950.jpg|Butch Deadmarsh|1951-04-06|Male| 
05/10024005_1955-12-24_2012.jpg|Grand L. Bush|1956-12-24|Male| 
27/1002427_1966-05-28_2000.jpg|Luke Ford|1967-05-29|Male| 
41/1002441_1952-01-03_2007.jpg|Jim Ross|1953-01-03|Male| 
54/10024854_1937-11-27_1960.jpg|Marv Luster|1938-11-28|Male| 
21/10026321_1984-05-17_2014.jpg|Igor Denisov|1985-05-18|Male| 
87/1002787_1962-01-28_2009.jpg|Patrice Motsepe|1963-01-29|Male| 
62/10028362_1974-10-18_2007.jpg|Jeremy Scahill|1975-10-19|Male| 
85/100285_1949-11-08_2007.jpg|Bonnie Raitt|1950-11-09|Female| 
21/10028621_1956-10-10_2010.jpg|Ton van Loon|1957-10-11|Male| 
71/1002871_1954-03-26_2007.jpg|Curtis Sliwa|1955-03-27|Male| 
